id,symbol
0x,zrx
adex,adx
aeternity,ae
aragon,ant
ardor,ardr
ark,ark
augur,rep
bancor,bnt
basic-attention-token,bat
binancecoin,bnb
bitcoin,btc
bitcoin-cash,bch
bitcoin-gold,btg
bitshares,bts
byteball,gbyte
bytecoin,bcn
cardano,ada
chainlink,link
civic,cvc
dash,dash
decred,dcr
digibyte,dgb
digixdao,dgd
district0x,dnt
dogecoin,doge
eos,eos
ethereum,eth
ethereum-classic,etc
funfair,fun
gas,gas
gnosis,gno
hshare,hc
icon,icx
iexec-rlc,rlc
iota,miota
kin,kin
komodo,kmd
kyber-network,knc
lisk,lsk
litecoin,ltc
loopring,lrc
maidsafecoin,maid
melon,mln
metal,mtl
monacoin,mona
monero,xmr
nano,nano
nem,xem
neo,neo
nexus,nxs
omisego,omg
pivx,pivx
populous,ppt
qtum,qtum
quantum-resistant-ledger,qrl
ripple,xrp
salt,salt
siacoin,sc
steem,steem
stellar,xlm
storj,storj
syscoin,sys
tron,trx
verge,xvg
waltonchain,wtc
waves,waves
zcash,zec
zencash,zen
